Cable ID,PwrE,HybE,RotW,FlxW,OCHand,MFHand
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_SystemElectricGreifer,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_SystemElectricHand,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_TASKA,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_VincentEvolution3,
K5,PwrE_UtahArm3,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_AetherZeus
K5,PwrE_UtahArm3,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_bebionicBBHxxxQD
K5,PwrE_UtahArm3,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_CovviHand
K5,PwrE_UtahArm3,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_Esper_Hand
K5,PwrE_UtahArm3,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_MIA_Hand
K5,PwrE_UtahArm3,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_TASKA
K5,PwrE_UtahArm3,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_TASKA_CX
K4,PwrE_UtahArm3,,,,OCHand_AbilityHand,
K4,PwrE_UtahArm3,,,,OCHand_Adams_Hand,
K4,PwrE_UtahArm3,,,,OCHand_AetherZeus,
K4,PwrE_UtahArm3,,,,OCHand_bebionic,
K4,PwrE_UtahArm3,,,,OCHand_CovviHand,
K4,PwrE_UtahArm3,,,,OCHand_Esper_Hand,
K4,PwrE_UtahArm3,,,,OCHand_Genesis_Hand,
K4,PwrE_UtahArm3,,,,OCHand_iLimbHands,
K4,PwrE_UtahArm3,,,,OCHand_Myo_Kinisi,
K4,PwrE_UtahArm3,,,,OCHand_MyoHandVariPlusSpeed,
K4,PwrE_UtahArm3,,,,OCHand_ProPlusETD_ETD2,
K4,PwrE_UtahArm3,,,,OCHand_ProPlusHand,
K4,PwrE_UtahArm3,,,,OCHand_SensorHandSpeed,
K4,PwrE_UtahArm3,,,,OCHand_SystemElectricGreifer,
K4,PwrE_UtahArm3,,,,OCHand_SystemElectricHand,
K4,PwrE_UtahArm3,,,,OCHand_TASKA,
K4,PwrE_UtahArm3,,,,OCHand_VincentEvolution3,
K5,PwrE_UtahArm3,,,,,MFHand_AetherZeus
K5,PwrE_UtahArm3,,,,,MFHand_bebionicBBHxxxQD
K5,PwrE_UtahArm3,,,,,MFHand_CovviHand
K5,PwrE_UtahArm3,,,,,MFHand_Esper_Hand
K5,PwrE_UtahArm3,,,,,MFHand_MIA_Hand
K5,PwrE_UtahArm3,,,,,MFHand_TASKA
K5,PwrE_UtahArm3,,,,,MFHand_TASKA_CX
J0,,HybE_AxonArmErgo,RotW_AxonRotation,,OCHand_AxonHook,
J0,,HybE_AxonArmErgo,RotW_AxonRotation,,,MFHand_MichelangeloHand
J0,,HybE_AxonArmErgo,,,OCHand_AxonHook,
J0,,HybE_AxonArmErgo,,,,MFHand_MichelangeloHand
J1,,HybE_ErgoArmElectronicplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_AbilityHand,
J1,,HybE_ErgoArmElectronicplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_Adams_Hand,
